"run","trt","imaz.rate","gr","rep","plot","mort.21dat","regrowth.28dat","control"
"2012_GH0201",23,8.8,"MCPA ester",1,23,1,1,0
"2012_GH0201",23,8.8,"MCPA ester",2,64,1,1,0
"2012_GH0201",23,8.8,"MCPA ester",3,106,1,0,0
"2012_GH0201",23,8.8,"MCPA ester",4,111,0,1,1
"2012_GH0201",23,8.8,"MCPA ester",5,161,1,1,0
"2012_GH0201",23,8.8,"MCPA ester",6,216,1,0,0
"2012_GH0201",24,17.5,"MCPA ester",1,24,1,1,0
"2012_GH0201",24,17.5,"MCPA ester",2,51,1,1,0
"2012_GH0201",24,17.5,"MCPA ester",3,94,1,0,0
"2012_GH0201",24,17.5,"MCPA ester",4,142,1,1,0
"2012_GH0201",24,17.5,"MCPA ester",5,160,0,1,1
"2012_GH0201",24,17.5,"MCPA ester",6,206,1,0,0
"2012_GH0201",25,35,"MCPA ester",1,25,1,1,0
"2012_GH0201",25,35,"MCPA ester",2,58,1,1,0
"2012_GH0201",25,35,"MCPA ester",3,77,1,1,0
"2012_GH0201",25,35,"MCPA ester",4,122,1,0,0
"2012_GH0201",25,35,"MCPA ester",5,149,"NA","NA","NA"
"2012_GH0201",25,35,"MCPA ester",6,197,0,1,1
"2012_GH0201",26,70,"MCPA ester",1,26,0,1,1
"2012_GH0201",26,70,"MCPA ester",2,52,0,1,1
"2012_GH0201",26,70,"MCPA ester",3,102,1,1,0
"2012_GH0201",26,70,"MCPA ester",4,144,0,1,1
"2012_GH0201",26,70,"MCPA ester",5,163,0,1,1
"2012_GH0201",26,70,"MCPA ester",6,200,1,0,0
"2012_GH0201",27,4.4,"dicamba",1,27,1,1,0
"2012_GH0201",27,4.4,"dicamba",2,43,1,1,0
"2012_GH0201",27,4.4,"dicamba",3,83,1,0,0
"2012_GH0201",27,4.4,"dicamba",4,114,1,0,0
"2012_GH0201",27,4.4,"dicamba",5,158,1,1,0
"2012_GH0201",27,4.4,"dicamba",6,187,1,1,0
"2012_GH0201",28,8.8,"dicamba",1,28,1,0,0
"2012_GH0201",28,8.8,"dicamba",2,48,1,1,0
"2012_GH0201",28,8.8,"dicamba",3,76,1,1,0
"2012_GH0201",28,8.8,"dicamba",4,118,1,1,0
"2012_GH0201",28,8.8,"dicamba",5,162,1,1,0
"2012_GH0201",28,8.8,"dicamba",6,195,1,1,0
"2012_GH0201",29,17.5,"dicamba",1,29,1,0,0
"2012_GH0201",29,17.5,"dicamba",2,57,1,1,0
