run,cultivar,rate,injury.10dat,injury.20dat,drywt,rel.drywt
2,Dawn,100,30,10,0.04,35
2,Dawn,200,40,10,0.03,33.33
2,Dawn,200,60,40,0.02,20
2,Dawn,200,5,10,0.02,16
2,Dawn,200,95,100,0,4
2,Dawn,200,30,10,0.02,17.5
2,Dawn,400,100,100,0,0
2,Dawn,400,100,100,0,0
2,Dawn,400,100,100,0,0
2,Dawn,400,70,100,0,2.5
2,Dawn,400,95,100,0,0
2,EarlyBird,0,0,0,0.07,82.22
2,EarlyBird,0,0,5,0.06,64.44
2,EarlyBird,0,0,0,0.04,38.89
2,EarlyBird,0,0,0,0.13,142.22
2,EarlyBird,0,0,0,0.16,181.48
2,EarlyBird,25,54,5,0.1,109.26
2,EarlyBird,25,20,10,0.03,37.78
2,EarlyBird,25,0,0,0.12,133.33
2,EarlyBird,25,0,0,0.03,31.11
2,EarlyBird,25,5,0,0.03,31.11
2,EarlyBird,50,20,5,0.09,102.22
2,EarlyBird,50,30,10,0.06,66.67
2,EarlyBird,50,5,5,0.08,83.33
2,EarlyBird,50,5,5,0.07,77.78
2,EarlyBird,50,10,5,0.03,35.19
2,EarlyBird,100,20,15,0.06,61.11
2,EarlyBird,100,20,10,0.04,44.44
2,EarlyBird,100,5,5,0.03,31.11
2,EarlyBird,100,50,10,0.08,86.11
2,EarlyBird,100,20,10,0.02,22.22
2,EarlyBird,200,90,100,0,3.7
2,EarlyBird,200,60,40,0.01,11.11
2,EarlyBird,200,90,100,0,2.22
2,EarlyBird,200,60,15,0.04,42.22
2,EarlyBird,200,80,20,0.01,11.11
2,EarlyBird,400,100,100,0,0
2,EarlyBird,400,100,100,0,0
2,EarlyBird,400,95,100,0,0
2,EarlyBird,400,100,100,0,0
2,EarlyBird,400,100,100,0,0
2,Horizon,0,5,5,0.12,150
2,Horizon,0,10,10,0.13,156.25
2,Horizon,0,0,5,0.06,70
2,Horizon,0,5,10,0.05,65
2,Horizon,0,0,5,0.03,31.25
2,Horizon,25,20,5,0.06,75
2,Horizon,25,10,10,0.05,59.38
2,Horizon,25,5,5,0.04,45
2,Horizon,25,10,10,0.11,142.5
2,Horizon,25,20,10,0.06,75
2,Horizon,50,5,5,0.05,65.63
2,Horizon,50,20,10,0.1,127.5
2,Horizon,50,20,5,0.05,62.5
2,Horizon,50,20,10,0.07,85
2,Horizon,50,0,10,0.02,27.5
2,Horizon,100,5,5,0.04,47.5
2,Horizon,100,10,10,0.06,68.75
2,Horizon,100,10,5,0.04,50
2,Horizon,100,40,15,0.11,134.38
2,Horizon,100,40,10,0.09,107.5
2,Horizon,200,60,5,0.09,106.25
2,Horizon,200,30,10,0.06,78.13
2,Horizon,200,100,100,0,0
2,Horizon,200,60,30,0.05,62.5
2,Horizon,200,85,100,0,3.13
2,Horizon,400,100,100,0,0
2,Horizon,400,100,100,0,0
2,Horizon,400,40,25,0.03,31.25
2,Horizon,400,100,100,0,0
2,Horizon,400,30,100,0.01,6.25
2,Huntsman,0,0,0,0.05,90
2,Huntsman,0,0,5,0.1,161.9
2,Huntsman,0,0,5,0.02,33.33
2,Huntsman,0,10,10,0.11,179.17
2,Huntsman,0,0,0,0.03,54.17
2,Huntsman,25,5,10,0.04,69.44
2,Huntsman,25,10,15,0.04,73.33
2,Huntsman,25,20,10,0.05,80.56
2,Huntsman,25,0,0,0.11,187.5
2,Huntsman,25,5,10,0.03,53.33
2,Huntsman,50,40,20,0.04,61.11
2,Huntsman,50,10,10,0.06,93.33
2,Huntsman,50,10,10,0.06,100
2,Huntsman,50,10,10,0.14,236.67
2,Huntsman,50,20,5,0.06,96.67
2,Huntsman,100,30,15,0.04,66.67
2,Huntsman,100,30,10,0.04,62.5
2,Huntsman,100,20,10,0.03,54.17
2,Huntsman,100,10,10,0.1,173.33
2,Huntsman,100,20,10,0.01,16.67
2,Huntsman,200,100,100,0.01,11.11
2,Huntsman,200,100,100,0,3.33
2,Huntsman,200,40,15,0.03,50
2,Huntsman,200,50,30,0.01,22.22
2,Huntsman,200,100,100,0,0
2,Huntsman,400,100,100,0,0
2,Huntsman,400,100,100,0,0
2,Huntsman,400,50,100,0,6.67
2,Huntsman,400,85,100,0,0
2,Huntsman,400,95,100,0,0
2,Panhandle,0,0,5,0.13,147.22
2,Panhandle,0,5,5,0.07,74.07
2,Panhandle,0,0,5,0.06,69.44
2,Panhandle,0,0,15,0.09,97.78
2,Panhandle,0,NA,NA,NA,NA
2,Panhandle,25,5,10,0.08,86.67
2,Panhandle,25,20,10,0.09,98.15
2,Panhandle,25,5,10,0.03,30.56
2,Panhandle,25,10,5,0.04,46.67
2,Panhandle,25,5,5,0.09,97.22
2,Panhandle,50,10,5,0.01,6.79
2,Panhandle,50,30,10,0.04,46.3
2,Panhandle,50,10,10,0.02,26.67
2,Panhandle,50,20,10,0.1,111.11
2,Panhandle,50,20,0,0.05,50
2,Panhandle,100,10,10,0.11,122.22
2,Panhandle,100,NA,NA,NA,NA
2,Panhandle,100,40,15,0.03,29.63
2,Panhandle,100,30,10,0.15,161.11
2,Panhandle,100,30,20,0.08,85.19
2,Panhandle,200,80,100,0,0
2,Panhandle,200,100,100,0,0
2,Panhandle,200,100,100,0,0
2,Panhandle,200,20,15,0.06,66.67
2,Panhandle,200,100,100,0,0
2,Panhandle,400,70,100,0.01,5.56
2,Panhandle,400,100,100,0,0
2,Panhandle,400,95,100,0,0
2,Panhandle,400,100,100,0,0
2,Panhandle,400,100,100,0,0
2,Sunrise,0,5,5,0.08,130
2,Sunrise,0,0,5,0.04,70.83
2,Sunrise,0,0,10,0.05,75
2,Sunrise,0,0,5,0.1,170
2,Sunrise,0,0,0,0.03,56.67
2,Sunrise,25,0,5,0.06,103.33
2,Sunrise,25,5,5,0.04,70
2,Sunrise,25,10,5,0.03,53.33
2,Sunrise,25,10,5,0.09,143.33
2,Sunrise,25,10,15,0.05,83.33
2,Sunrise,50,5,10,0.04,62.5
2,Sunrise,50,5,10,0.14,240
2,Sunrise,50,0,10,0.07,110
2,Sunrise,50,10,5,0.08,133.33
2,Sunrise,50,10,5,0,0
2,Sunrise,100,20,15,0.08,126.67
2,Sunrise,100,30,10,0.06,100
2,Sunrise,100,10,5,0.02,33.33
2,Sunrise,100,40,10,0.08,125
2,Sunrise,100,85,15,0.02,33.33
2,Sunrise,200,80,60,0,4.17
2,Sunrise,200,50,30,0.04,66.67
2,Sunrise,200,20,10,0.02,33.33
2,Sunrise,200,30,15,0.03,53.33
2,Sunrise,200,30,10,0.01,20.83
2,Sunrise,400,100,100,0,0
2,Sunrise,400,100,100,0,0
2,Sunrise,400,100,100,0,3.33
2,Sunrise,400,60,20,0.03,50
2,Sunrise,400,100,100,0,0
2,WhiteWonder,0,0,10,0.15,166.67
2,WhiteWonder,0,5,10,0.14,150
2,WhiteWonder,0,5,5,0.02,25
2,WhiteWonder,0,0,5,0.12,136.11
2,WhiteWonder,0,0,10,0.04,46.67
2,WhiteWonder,25,20,5,0.03,37.04
2,WhiteWonder,25,80,15,0.03,33.33
2,WhiteWonder,25,80,30,0.01,5.56
2,WhiteWonder,25,80,20,0.01,13.89
2,WhiteWonder,25,10,0,0.03,27.78
2,WhiteWonder,50,80,100,0,0
2,WhiteWonder,50,100,20,0.01,11.11
2,WhiteWonder,50,90,40,0,3.7
2,WhiteWonder,50,100,80,0,0
2,WhiteWonder,50,60,15,0.02,22.22
2,WhiteWonder,100,95,100,0,0
2,WhiteWonder,100,100,100,0,0
2,WhiteWonder,100,100,100,0,0
2,WhiteWonder,100,100,100,0,0
2,WhiteWonder,100,90,100,0,0
2,WhiteWonder,200,100,100,0,0
2,WhiteWonder,200,100,100,0,0
2,WhiteWonder,200,90,100,0,2.78
2,WhiteWonder,200,100,100,0,0
2,WhiteWonder,200,100,100,0,0
2,WhiteWonder,400,100,100,0,0
2,WhiteWonder,400,NA,NA,NA,NA
2,WhiteWonder,400,100,100,0,0
2,WhiteWonder,400,100,100,0,0
2,WhiteWonder,400,100,100,0,0
